context_time,node_time,embedding_time,diagnose_time,retrieval_time
39.0,34.0,10.0,36.0,9.0
25.0,34.0,7.0,28.0,8.0
24.0,32.0,4.0,21.0,26.0
26.0,31.0,5.0,12.0,6.0
34.0,34.0,5.0,22.0,6.0
43.0,32.0,3.0,15.0,6.0
46.0,29.0,3.0,14.0,27.0
50.0,24.0,6.0,17.0,6.0
35.0,26.0,20.0,14.0,6.0
44.0,30.0,21.0,39.0,6.0
55.0,26.0,12.0,15.0,6.0
47.0,28.0,5.0,16.0,7.0
59.0,25.0,6.0,23.0,7.0
42.0,35.0,15.0,27.0,8.0
44.0,32.0,32.0,16.0,6.0
31.0,27.0,90.0,48.0,7.0
41.0,42.0,10.0,22.0,8.0
26.0,40.0,16.0,14.0,67.0
56.0,31.0,4.0,16.0,8.0
44.0,33.0,16.0,15.0,7.0
42.0,27.0,4.0,18.0,7.0
50.0,32.0,13.0,21.0,6.0
48.0,31.0,9.0,19.0,6.0
45.0,31.0,6.0,15.0,7.0
52.0,21.0,35.0,25.0,8.0
38.0,21.0,19.0,15.0,8.0
45.0,24.0,9.0,15.0,8.0
28.0,22.0,13.0,17.0,7.0
34.0,37.0,13.0,15.0,8.0
30.0,30.0,11.0,27.0,6.0
59.0,31.0,6.0,18.0,7.0
46.0,37.0,4.0,16.0,8.0
51.0,21.0,4.0,32.0,6.0
51.0,26.0,13.0,28.0,6.0
43.0,34.0,8.0,15.0,7.0
48.0,18.0,16.0,14.0,7.0
54.0,28.0,13.0,12.0,6.0
42.0,36.0,26.0,15.0,6.0
43.0,35.0,17.0,17.0,6.0
57.0,46.0,9.0,15.0,7.0
44.0,36.0,13.0,14.0,9.0
41.0,24.0,12.0,14.0,9.0
42.0,27.0,14.0,16.0,6.0
47.0,34.0,17.0,15.0,6.0
33.0,47.0,8.0,36.0,8.0
21.0,30.0,13.0,13.0,6.0
24.0,30.0,14.0,16.0,75.0
28.0,18.0,5.0,13.0,7.0
35.0,32.0,3.0,14.0,11.0
27.0,24.0,4.0,20.0,7.0
46.0,42.0,4.0,14.0,7.0
40.0,27.0,5.0,16.0,6.0
52.0,41.0,3.0,16.0,6.0
36.0,32.0,13.0,16.0,7.0
27.0,32.0,8.0,13.0,6.0
42.0,31.0,21.0,15.0,7.0
26.0,40.0,5.0,15.0,8.0
35.0,38.0,5.0,15.0,7.0
82.0,29.0,11.0,16.0,7.0
46.0,16.0,4.0,15.0,9.0
53.0,33.0,10.0,16.0,6.0
65.0,29.0,17.0,16.0,8.0
24.0,29.0,43.0,16.0,8.0
45.0,22.0,12.0,12.0,7.0
48.0,24.0,16.0,13.0,7.0
126.0,35.0,4.0,18.0,6.0
53.0,29.0,5.0,17.0,6.0
43.0,34.0,33.0,14.0,10.0
26.0,27.0,18.0,15.0,20.0
46.0,20.0,13.0,13.0,11.0
45.0,25.0,7.0,25.0,6.0
45.0,16.0,4.0,13.0,8.0
42.0,28.0,20.0,15.0,9.0
42.0,32.0,8.0,15.0,6.0
54.0,33.0,15.0,15.0,7.0
53.0,30.0,23.0,14.0,6.0
46.0,26.0,15.0,13.0,6.0
45.0,31.0,10.0,12.0,6.0
41.0,33.0,24.0,12.0,7.0
50.0,36.0,19.0,14.0,6.0
28.0,29.0,18.0,12.0,6.0
72.0,21.0,33.0,14.0,6.0
46.0,44.0,21.0,17.0,6.0
51.0,50.0,3.0,15.0,10.0
53.0,45.0,13.0,18.0,6.0
43.0,39.0,16.0,15.0,8.0
80.0,28.0,13.0,13.0,10.0
51.0,36.0,10.0,15.0,9.0
49.0,28.0,11.0,14.0,7.0
43.0,40.0,18.0,13.0,7.0
32.0,51.0,12.0,15.0,8.0
39.0,39.0,34.0,15.0,7.0
36.0,49.0,8.0,21.0,8.0
32.0,39.0,4.0,16.0,8.0
42.0,32.0,6.0,17.0,11.0
54.0,43.0,4.0,15.0,18.0
37.0,42.0,4.0,15.0,10.0
36.0,36.0,25.0,14.0,6.0
40.0,41.0,10.0,13.0,7.0
42.0,23.0,12.0,14.0,7.0
60.0,39.0,11.0,14.0,6.0
45.0,47.0,8.0,12.0,7.0
30.0,40.0,11.0,16.0,7.0
56.0,41.0,14.0,14.0,6.0
55.0,46.0,9.0,12.0,7.0
60.0,41.0,6.0,15.0,6.0
55.0,49.0,49.0,15.0,9.0
47.0,35.0,78.0,13.0,7.0
53.0,28.0,69.0,14.0,8.0
46.0,30.0,46.0,13.0,7.0
57.0,22.0,9.0,15.0,7.0
58.0,38.0,46.0,14.0,8.0
52.0,27.0,15.0,13.0,6.0
157.0,32.0,78.0,18.0,7.0
51.0,34.0,44.0,19.0,7.0
44.0,31.0,72.0,15.0,8.0
53.0,37.0,69.0,16.0,7.0
54.0,34.0,46.0,17.0,7.0
50.0,32.0,15.0,12.0,8.0
50.0,29.0,74.0,15.0,8.0
24.0,30.0,68.0,14.0,7.0
53.0,34.0,40.0,15.0,8.0
55.0,32.0,48.0,12.0,8.0
66.0,25.0,3.0,14.0,8.0
64.0,24.0,68.0,14.0,8.0
57.0,27.0,75.0,15.0,6.0
110.0,38.0,53.0,15.0,6.0
45.0,40.0,78.0,15.0,6.0
44.0,27.0,48.0,16.0,6.0
65.0,33.0,44.0,13.0,9.0
42.0,31.0,68.0,16.0,7.0
46.0,33.0,35.0,13.0,6.0
42.0,36.0,44.0,15.0,8.0
45.0,31.0,30.0,16.0,7.0
58.0,23.0,5.0,14.0,6.0
48.0,34.0,23.0,14.0,6.0
43.0,29.0,17.0,19.0,6.0
51.0,27.0,24.0,16.0,6.0
48.0,31.0,57.0,13.0,9.0
47.0,37.0,32.0,15.0,24.0
48.0,37.0,31.0,12.0,8.0
48.0,30.0,41.0,15.0,8.0
45.0,72.0,36.0,14.0,6.0
39.0,64.0,31.0,14.0,8.0
38.0,52.0,25.0,21.0,7.0
36.0,161.0,34.0,19.0,10.0
52.0,107.0,31.0,12.0,8.0
53.0,70.0,14.0,12.0,22.0
41.0,19.0,14.0,14.0,25.0
48.0,98.0,14.0,14.0,8.0
45.0,142.0,30.0,15.0,7.0
43.0,139.0,62.0,12.0,9.0
53.0,34.0,15.0,14.0,10.0
41.0,59.0,46.0,17.0,9.0
41.0,63.0,54.0,19.0,7.0
52.0,162.0,29.0,18.0,8.0
50.0,70.0,25.0,21.0,18.0
36.0,121.0,14.0,18.0,25.0
45.0,61.0,15.0,16.0,11.0
66.0,68.0,35.0,18.0,26.0
46.0,93.0,34.0,16.0,7.0
45.0,106.0,14.0,15.0,10.0
50.0,113.0,31.0,20.0,18.0
54.0,170.0,44.0,14.0,8.0
48.0,81.0,31.0,13.0,13.0
60.0,47.0,31.0,12.0,20.0
55.0,59.0,34.0,13.0,6.0
62.0,45.0,144.0,20.0,9.0
40.0,66.0,40.0,13.0,6.0
67.0,84.0,92.0,13.0,7.0
60.0,52.0,139.0,14.0,29.0
65.0,93.0,152.0,12.0,7.0
38.0,67.0,6.0,13.0,9.0
55.0,73.0,130.0,13.0,8.0
49.0,41.0,111.0,15.0,9.0
103.0,85.0,88.0,13.0,7.0
73.0,55.0,8.0,13.0,8.0
55.0,98.0,113.0,14.0,10.0
60.0,64.0,70.0,17.0,7.0
56.0,59.0,164.0,14.0,8.0
53.0,34.0,79.0,31.0,7.0
57.0,67.0,74.0,15.0,7.0
51.0,118.0,67.0,17.0,10.0
54.0,115.0,93.0,13.0,75.0
60.0,85.0,116.0,14.0,6.0
51.0,68.0,88.0,14.0,23.0
56.0,96.0,148.0,11.0,10.0
60.0,77.0,49.0,13.0,7.0
60.0,180.0,114.0,17.0,13.0
55.0,68.0,127.0,12.0,8.0
59.0,109.0,94.0,18.0,7.0
46.0,57.0,133.0,13.0,10.0
55.0,46.0,123.0,19.0,8.0
61.0,144.0,79.0,13.0,26.0
57.0,91.0,145.0,14.0,7.0
77.0,48.0,33.0,17.0,25.0
59.0,100.0,147.0,16.0,7.0
48.0,71.0,69.0,18.0,7.0
54.0,27.0,100.0,16.0,15.0
56.0,165.0,104.0,12.0,10.0
48.0,65.0,133.0,16.0,14.0
58.0,37.0,64.0,14.0,13.0
81.0,65.0,36.0,14.0,8.0
54.0,83.0,70.0,16.0,11.0
48.0,33.0,44.0,13.0,9.0
48.0,88.0,77.0,15.0,10.0
55.0,105.0,178.0,14.0,9.0
63.0,65.0,50.0,19.0,8.0
47.0,85.0,38.0,17.0,10.0
55.0,58.0,9.0,22.0,10.0
62.0,124.0,142.0,18.0,9.0
74.0,75.0,91.0,17.0,12.0
57.0,48.0,128.0,17.0,27.0
54.0,122.0,69.0,14.0,25.0
53.0,50.0,87.0,15.0,11.0
55.0,126.0,115.0,12.0,13.0
118.0,108.0,77.0,16.0,11.0
54.0,64.0,128.0,15.0,9.0
62.0,76.0,155.0,15.0,7.0
55.0,30.0,147.0,15.0,6.0
53.0,148.0,112.0,17.0,19.0
59.0,83.0,32.0,14.0,8.0
49.0,123.0,82.0,21.0,8.0
48.0,131.0,41.0,25.0,9.0
54.0,94.0,33.0,11.0,8.0
58.0,51.0,81.0,15.0,28.0
50.0,98.0,68.0,26.0,32.0
55.0,80.0,8.0,26.0,8.0
51.0,51.0,95.0,16.0,10.0
44.0,149.0,115.0,19.0,8.0
53.0,91.0,25.0,17.0,8.0
51.0,74.0,120.0,21.0,9.0
46.0,63.0,84.0,17.0,7.0
56.0,58.0,31.0,16.0,10.0
48.0,105.0,104.0,25.0,13.0
58.0,57.0,66.0,19.0,8.0
56.0,63.0,32.0,14.0,9.0
50.0,36.0,72.0,19.0,36.0
60.0,170.0,85.0,17.0,26.0
54.0,30.0,118.0,15.0,14.0
47.0,54.0,112.0,16.0,21.0
64.0,104.0,101.0,15.0,13.0
60.0,52.0,131.0,17.0,12.0
52.0,115.0,103.0,18.0,8.0
58.0,48.0,40.0,18.0,10.0
55.0,71.0,54.0,16.0,21.0
36.0,78.0,132.0,18.0,25.0
59.0,66.0,109.0,23.0,9.0
58.0,34.0,76.0,13.0,9.0
51.0,32.0,144.0,12.0,20.0
52.0,26.0,5.0,15.0,29.0
51.0,33.0,94.0,14.0,9.0
52.0,27.0,127.0,15.0,9.0
49.0,32.0,99.0,18.0,8.0
56.0,30.0,63.0,17.0,7.0
56.0,23.0,103.0,13.0,10.0
52.0,28.0,99.0,14.0,11.0
152.0,29.0,51.0,18.0,7.0
138.0,32.0,94.0,16.0,7.0
119.0,27.0,92.0,14.0,14.0
57.0,28.0,100.0,16.0,14.0
57.0,23.0,166.0,19.0,9.0
48.0,12.0,86.0,15.0,8.0
59.0,28.0,72.0,18.0,15.0
59.0,25.0,108.0,19.0,14.0
61.0,24.0,83.0,16.0,16.0
54.0,41.0,164.0,36.0,11.0
58.0,28.0,173.0,16.0,9.0
48.0,32.0,105.0,23.0,9.0
57.0,36.0,132.0,16.0,29.0
43.0,32.0,32.0,16.0,29.0
57.0,46.0,114.0,14.0,11.0
60.0,33.0,29.0,13.0,10.0
59.0,41.0,137.0,14.0,11.0
49.0,27.0,116.0,16.0,11.0
45.0,32.0,94.0,12.0,9.0
119.0,26.0,37.0,15.0,7.0
54.0,25.0,35.0,14.0,8.0
178.0,30.0,44.0,19.0,8.0
58.0,31.0,75.0,15.0,7.0
50.0,32.0,155.0,13.0,8.0
48.0,22.0,89.0,16.0,16.0
35.0,23.0,37.0,15.0,16.0
43.0,23.0,29.0,36.0,14.0
47.0,20.0,7.0,14.0,13.0
48.0,28.0,11.0,15.0,8.0
48.0,21.0,11.0,16.0,7.0
56.0,27.0,13.0,17.0,19.0
36.0,23.0,13.0,15.0,7.0
42.0,28.0,9.0,13.0,7.0
43.0,28.0,9.0,11.0,6.0
48.0,37.0,12.0,17.0,14.0
54.0,29.0,9.0,14.0,15.0
50.0,26.0,10.0,13.0,18.0
24.0,24.0,14.0,15.0,9.0
44.0,28.0,9.0,14.0,11.0
44.0,29.0,3.0,23.0,17.0
38.0,43.0,14.0,18.0,7.0
45.0,32.0,7.0,17.0,8.0
28.0,28.0,6.0,14.0,10.0
45.0,25.0,17.0,13.0,8.0
59.0,26.0,6.0,12.0,44.0
50.0,26.0,13.0,15.0,24.0
45.0,29.0,17.0,16.0,9.0
49.0,38.0,20.0,17.0,8.0
47.0,49.0,14.0,16.0,8.0
27.0,39.0,8.0,15.0,8.0
30.0,32.0,13.0,16.0,12.0
35.0,23.0,4.0,14.0,12.0
43.0,15.0,7.0,17.0,11.0
42.0,35.0,6.0,14.0,11.0
36.0,18.0,9.0,16.0,13.0
49.0,25.0,18.0,13.0,12.0
27.0,35.0,7.0,13.0,9.0
30.0,27.0,6.0,15.0,9.0
28.0,51.0,3.0,11.0,22.0
45.0,39.0,3.0,15.0,10.0
34.0,35.0,4.0,18.0,7.0
24.0,46.0,5.0,31.0,7.0
40.0,46.0,10.0,15.0,8.0
34.0,23.0,4.0,19.0,7.0
34.0,34.0,6.0,21.0,12.0
42.0,33.0,9.0,12.0,14.0
45.0,38.0,8.0,16.0,12.0
45.0,26.0,7.0,14.0,8.0
61.0,28.0,10.0,16.0,9.0
45.0,36.0,6.0,15.0,19.0
57.0,33.0,10.0,13.0,6.0
38.0,40.0,11.0,14.0,9.0
53.0,40.0,6.0,16.0,8.0
47.0,29.0,9.0,19.0,9.0
48.0,37.0,33.0,14.0,9.0
25.0,42.0,11.0,16.0,8.0
45.0,31.0,14.0,15.0,9.0
39.0,33.0,3.0,16.0,7.0
39.0,40.0,10.0,13.0,7.0
42.0,36.0,9.0,17.0,9.0
51.0,31.0,5.0,13.0,8.0
47.0,33.0,12.0,15.0,9.0
39.0,25.0,25.0,15.0,8.0
24.0,42.0,20.0,13.0,7.0
29.0,30.0,7.0,13.0,7.0
49.0,28.0,4.0,16.0,10.0
32.0,21.0,3.0,16.0,9.0
34.0,27.0,18.0,16.0,9.0
49.0,34.0,4.0,16.0,8.0
49.0,27.0,4.0,17.0,8.0
51.0,22.0,14.0,22.0,11.0
55.0,26.0,21.0,14.0,8.0
40.0,31.0,21.0,19.0,8.0
47.0,37.0,38.0,20.0,16.0
57.0,26.0,11.0,15.0,15.0
33.0,29.0,19.0,15.0,11.0
50.0,24.0,21.0,16.0,11.0
44.0,28.0,3.0,21.0,23.0
41.0,20.0,17.0,15.0,34.0
51.0,34.0,15.0,14.0,11.0
29.0,33.0,9.0,13.0,11.0
42.0,31.0,13.0,15.0,9.0
42.0,25.0,4.0,15.0,9.0
48.0,28.0,6.0,14.0,9.0
45.0,28.0,11.0,16.0,8.0
33.0,35.0,23.0,15.0,8.0
44.0,28.0,21.0,13.0,8.0
49.0,30.0,8.0,14.0,10.0
35.0,38.0,19.0,14.0,10.0
44.0,28.0,24.0,15.0,15.0
51.0,25.0,12.0,21.0,13.0
46.0,25.0,16.0,18.0,9.0
42.0,43.0,12.0,14.0,8.0
41.0,27.0,9.0,16.0,10.0
30.0,34.0,8.0,14.0,10.0
46.0,27.0,13.0,15.0,21.0
33.0,29.0,4.0,12.0,21.0
46.0,30.0,11.0,15.0,6.0
24.0,30.0,8.0,17.0,5.0
48.0,21.0,15.0,17.0,8.0
40.0,40.0,5.0,21.0,11.0
40.0,45.0,11.0,24.0,12.0
46.0,39.0,13.0,15.0,12.0
50.0,54.0,12.0,18.0,10.0
34.0,55.0,8.0,19.0,9.0
49.0,37.0,8.0,16.0,31.0
48.0,39.0,10.0,16.0,33.0
49.0,38.0,15.0,19.0,13.0
34.0,38.0,22.0,13.0,11.0
51.0,41.0,10.0,21.0,10.0
35.0,31.0,8.0,15.0,8.0
49.0,38.0,16.0,17.0,12.0
47.0,32.0,6.0,17.0,12.0
49.0,38.0,18.0,14.0,9.0
32.0,66.0,8.0,13.0,9.0
39.0,52.0,27.0,13.0,10.0
34.0,67.0,7.0,16.0,10.0
41.0,32.0,9.0,16.0,8.0
44.0,39.0,12.0,16.0,9.0
36.0,43.0,12.0,15.0,9.0
50.0,45.0,14.0,18.0,10.0
25.0,52.0,9.0,17.0,9.0
27.0,52.0,29.0,15.0,9.0
41.0,39.0,3.0,16.0,13.0
38.0,64.0,3.0,13.0,13.0
47.0,44.0,17.0,17.0,22.0
43.0,59.0,16.0,16.0,18.0
45.0,70.0,10.0,17.0,9.0
47.0,44.0,15.0,12.0,8.0
47.0,35.0,14.0,15.0,13.0
45.0,32.0,22.0,15.0,12.0
28.0,47.0,14.0,14.0,14.0
52.0,41.0,14.0,29.0,13.0
50.0,57.0,4.0,30.0,10.0
53.0,43.0,67.0,13.0,12.0
65.0,50.0,90.0,16.0,9.0
58.0,51.0,47.0,17.0,8.0
49.0,62.0,129.0,17.0,19.0
54.0,38.0,131.0,20.0,13.0
46.0,33.0,57.0,14.0,12.0
49.0,30.0,55.0,15.0,9.0
52.0,32.0,54.0,13.0,7.0
44.0,30.0,42.0,18.0,8.0
57.0,34.0,60.0,17.0,8.0
55.0,29.0,20.0,15.0,8.0
45.0,14.0,60.0,15.0,8.0
56.0,25.0,23.0,30.0,7.0
56.0,28.0,62.0,24.0,17.0
59.0,33.0,152.0,16.0,12.0
48.0,32.0,86.0,13.0,9.0
63.0,34.0,153.0,17.0,11.0
55.0,33.0,22.0,14.0,9.0
57.0,28.0,63.0,12.0,8.0
51.0,19.0,76.0,16.0,8.0
58.0,26.0,92.0,14.0,6.0
52.0,24.0,102.0,14.0,12.0
55.0,31.0,101.0,20.0,7.0
53.0,32.0,40.0,22.0,10.0
58.0,110.0,106.0,39.0,7.0
54.0,83.0,82.0,34.0,12.0
56.0,125.0,103.0,28.0,7.0
42.0,52.0,130.0,29.0,28.0
53.0,79.0,85.0,17.0,34.0
56.0,63.0,16.0,13.0,18.0
50.0,63.0,14.0,12.0,14.0
56.0,123.0,96.0,12.0,43.0
60.0,77.0,64.0,14.0,53.0
53.0,86.0,121.0,12.0,7.0
57.0,33.0,71.0,11.0,8.0
55.0,69.0,80.0,12.0,7.0
55.0,70.0,94.0,15.0,7.0
46.0,73.0,117.0,13.0,7.0
50.0,45.0,56.0,12.0,8.0
45.0,60.0,11.0,13.0,6.0
42.0,86.0,18.0,14.0,5.0
39.0,78.0,15.0,16.0,7.0
37.0,159.0,17.0,14.0,10.0
25.0,91.0,18.0,11.0,7.0
42.0,59.0,16.0,10.0,8.0
43.0,33.0,4.0,13.0,6.0
40.0,86.0,6.0,15.0,19.0
48.0,89.0,12.0,11.0,6.0
44.0,65.0,13.0,12.0,8.0
44.0,41.0,20.0,17.0,6.0
39.0,125.0,30.0,18.0,6.0
31.0,66.0,17.0,17.0,8.0
30.0,25.0,11.0,14.0,7.0
27.0,86.0,5.0,12.0,7.0
37.0,180.0,4.0,15.0,10.0
47.0,73.0,4.0,14.0,7.0
53.0,63.0,15.0,14.0,8.0
123.0,118.0,27.0,16.0,6.0
59.0,71.0,103.0,13.0,8.0
52.0,59.0,110.0,15.0,7.0
56.0,61.0,76.0,12.0,10.0
57.0,106.0,108.0,12.0,7.0
74.0,64.0,96.0,13.0,7.0
62.0,67.0,101.0,17.0,7.0
56.0,46.0,124.0,12.0,6.0
55.0,30.0,166.0,15.0,6.0
49.0,22.0,38.0,15.0,6.0
61.0,34.0,79.0,19.0,6.0
54.0,36.0,123.0,17.0,7.0
59.0,34.0,157.0,15.0,7.0
58.0,32.0,106.0,14.0,6.0
47.0,24.0,39.0,14.0,6.0
57.0,33.0,122.0,13.0,5.0
50.0,26.0,57.0,15.0,14.0
57.0,35.0,146.0,17.0,7.0
52.0,31.0,85.0,15.0,10.0
61.0,34.0,90.0,16.0,7.0
48.0,26.0,31.0,16.0,6.0
63.0,29.0,174.0,13.0,6.0
62.0,35.0,115.0,13.0,14.0
58.0,30.0,51.0,13.0,7.0
51.0,34.0,69.0,14.0,9.0
57.0,31.0,99.0,17.0,7.0
57.0,36.0,123.0,13.0,7.0
39.0,29.0,6.0,12.0,6.0
53.0,39.0,82.0,20.0,7.0
57.0,30.0,168.0,17.0,6.0
66.0,27.0,147.0,14.0,7.0
58.0,42.0,145.0,11.0,7.0
68.0,28.0,109.0,13.0,7.0
65.0,39.0,101.0,16.0,23.0
60.0,35.0,71.0,12.0,7.0
55.0,30.0,122.0,14.0,5.0
59.0,29.0,122.0,15.0,6.0
62.0,27.0,34.0,14.0,6.0
90.0,30.0,35.0,15.0,6.0
59.0,37.0,5.0,14.0,6.0
48.0,32.0,24.0,13.0,6.0
40.0,27.0,22.0,13.0,6.0
45.0,33.0,30.0,16.0,7.0
58.0,33.0,23.0,16.0,9.0
48.0,30.0,11.0,14.0,9.0
48.0,12.0,31.0,18.0,7.0
53.0,30.0,16.0,12.0,7.0
53.0,34.0,26.0,14.0,7.0
45.0,27.0,24.0,15.0,8.0
45.0,36.0,30.0,14.0,7.0
49.0,33.0,26.0,12.0,6.0
59.0,34.0,22.0,19.0,6.0
54.0,38.0,13.0,12.0,8.0
54.0,41.0,24.0,16.0,7.0
55.0,33.0,27.0,18.0,7.0
46.0,34.0,21.0,14.0,7.0
51.0,11.0,23.0,14.0,30.0
54.0,26.0,20.0,12.0,6.0
51.0,42.0,33.0,15.0,6.0
47.0,29.0,25.0,18.0,6.0
50.0,29.0,4.0,13.0,10.0
50.0,35.0,19.0,13.0,7.0
27.0,31.0,23.0,17.0,7.0
46.0,31.0,35.0,13.0,7.0
51.0,34.0,21.0,13.0,6.0
51.0,28.0,27.0,15.0,6.0
54.0,32.0,28.0,13.0,7.0
51.0,31.0,25.0,14.0,6.0
46.0,16.0,19.0,12.0,7.0
48.0,38.0,35.0,15.0,5.0
49.0,31.0,25.0,13.0,8.0
70.0,30.0,8.0,16.0,7.0
51.0,40.0,21.0,15.0,7.0
46.0,27.0,20.0,14.0,7.0
47.0,30.0,21.0,14.0,10.0
51.0,33.0,3.0,13.0,5.0
53.0,34.0,26.0,14.0,7.0
24.0,32.0,18.0,12.0,7.0
46.0,25.0,20.0,12.0,6.0
46.0,33.0,32.0,13.0,9.0
47.0,36.0,35.0,13.0,7.0
54.0,42.0,21.0,14.0,8.0
46.0,25.0,27.0,15.0,7.0
48.0,35.0,27.0,16.0,7.0
52.0,23.0,25.0,13.0,6.0
49.0,36.0,11.0,14.0,7.0
48.0,32.0,3.0,14.0,6.0
56.0,30.0,23.0,19.0,8.0
30.0,61.0,26.0,13.0,8.0
45.0,37.0,24.0,19.0,8.0
49.0,25.0,13.0,12.0,8.0
47.0,32.0,29.0,13.0,6.0
42.0,31.0,27.0,13.0,26.0
47.0,26.0,23.0,14.0,9.0
42.0,29.0,22.0,15.0,21.0
52.0,30.0,26.0,15.0,6.0
47.0,30.0,17.0,16.0,6.0
55.0,31.0,25.0,14.0,9.0
60.0,31.0,17.0,14.0,13.0
44.0,47.0,4.0,16.0,6.0
48.0,34.0,25.0,18.0,10.0
29.0,34.0,37.0,14.0,7.0
47.0,46.0,19.0,15.0,7.0
58.0,42.0,22.0,18.0,7.0
45.0,36.0,15.0,14.0,8.0
49.0,39.0,24.0,13.0,7.0
52.0,42.0,27.0,13.0,7.0
54.0,48.0,25.0,15.0,8.0
45.0,35.0,25.0,15.0,8.0
50.0,40.0,24.0,14.0,9.0
52.0,50.0,16.0,13.0,9.0
51.0,95.0,20.0,14.0,7.0
46.0,51.0,34.0,15.0,7.0
52.0,30.0,18.0,14.0,9.0
52.0,45.0,8.0,15.0,7.0
49.0,110.0,11.0,18.0,8.0
38.0,44.0,27.0,14.0,5.0
44.0,42.0,24.0,16.0,8.0
52.0,62.0,26.0,17.0,6.0
49.0,48.0,28.0,15.0,9.0
46.0,18.0,33.0,14.0,9.0
49.0,45.0,18.0,14.0,7.0
54.0,82.0,24.0,16.0,8.0
63.0,74.0,15.0,13.0,7.0
45.0,39.0,14.0,14.0,8.0
54.0,57.0,15.0,17.0,9.0
47.0,40.0,10.0,13.0,11.0
49.0,23.0,16.0,15.0,12.0
43.0,35.0,17.0,15.0,8.0
51.0,24.0,6.0,17.0,7.0
51.0,29.0,10.0,15.0,11.0
38.0,26.0,8.0,16.0,8.0
47.0,30.0,9.0,14.0,8.0
43.0,32.0,9.0,16.0,9.0
43.0,28.0,7.0,17.0,8.0
51.0,35.0,15.0,15.0,7.0
34.0,23.0,8.0,13.0,7.0
61.0,26.0,8.0,16.0,9.0
41.0,17.0,17.0,16.0,8.0
33.0,27.0,19.0,15.0,13.0
53.0,18.0,9.0,14.0,7.0
48.0,48.0,9.0,14.0,7.0
35.0,29.0,97.0,17.0,7.0
34.0,29.0,82.0,13.0,8.0
105.0,26.0,11.0,15.0,7.0
64.0,30.0,67.0,13.0,7.0
48.0,33.0,146.0,12.0,7.0
66.0,32.0,61.0,15.0,7.0
60.0,21.0,69.0,14.0,10.0
102.0,32.0,139.0,15.0,8.0
76.0,23.0,70.0,14.0,6.0
76.0,24.0,3.0,13.0,6.0
55.0,24.0,42.0,16.0,6.0
30.0,24.0,31.0,13.0,7.0
58.0,37.0,127.0,15.0,8.0
63.0,30.0,61.0,14.0,7.0
63.0,29.0,15.0,13.0,7.0
